Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,Imaging Database,Imaging Datalink,Age,Sex,Viewer Link,AP,ML,DV,Injection Type
181002_JH_WG_A_Fezf2LSLflp_CFA_male,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/2c/36/2c36fc438f9ee852/181002_JH_WG_A_Fezf2LSLflp_CFA_male_processed/,,M,https://brainviewer.org:3010/HUA_U19_181002,1.5,1.5,1, AAV2/8-Cag-fDIO TVAeGFP
181003_JH_WG_B_Fezf2LSLflp_CFA3_male,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/1d/97/1d97066b361f50f6/181003_JH_WG_B_Fezf2LSLflp_CFA3_male_processed/,,M,https://brainviewer.org:3010/HUA_U19_181003,0.3,1.6,1, AAV2/8-Cag-fDIO TVAeGFP
181004_JH_WG_PlexinD1LSLflp_CFA_female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/76/c4/76c48a24b78cad95/181004_JH_WG_PlexinD1LSLflp_CFA_female_processed/,,,https://brainviewer.org:3010/HUA_U19_181004,0.4,1.6,1, AAV2/8-Cag-fDIO TVAeGFP
181009_JH_XA0001_PlexinD1LSLflp_AGT4_LMC_male,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/77/da/77da8e4d3365a9f5/181009_JH_XA0001_PlexinD1LSLflp_AGT4_LMC_male_processed/,,M,https://brainviewer.org:3010/HUA_U19_181009,1.6,2,1, AAV2/8-Cag-fDIO TVAeGFP
181010_JH_XA0002_PlexinD1LSLflp_AGT5_LMC_male,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_181010,1.1,2,1.3, AAV2/8-Cag-fDIO TVAeGFP
181011_JH_XA0003_Fezf2LSLflp_AGT4_LMC_male,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/93/77/9377ea05ab62999c/181011_JH_XA0003_Fezf2LSLflp_AGT4_LMC_male_processed/,,M,https://brainviewer.org:3010/HUA_U19_181011,1,2,1.3, AAV2/8-Cag-fDIO TVAeGFP
181012_JH_XA0004_Fezf2LSLflp_AGT5_LMC_male,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/01/d3/01d31bc4a925f6dd/181012_JH_XA0004_Fezf2LSLflp_AGT5_LMC_male_processed,,M,https://brainviewer.org:3010/HUA_U19_181012,1.1,2.1,1.3, AAV2/8-Cag-fDIO TVAeGFP
181015_JH_HK0043_Fezf2LSLflp_RSPd_female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,RSPd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/63/f4/63f43f88738b00e2/181015_JH_HK0043_Fezf2LSLflp_RSPd_female_processed/,12,F,https://brainviewer.org:3010/HUA_U19_181015,-2.5,0.7,0.6, AAV2/8-Cag-fDIO TVAeGFP
181018_JH_HK0048_Tle4LSLflp_SSpHindlimb_male,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,12,M,https://brainviewer.org:3010/HUA_U19_181018,,,,
181025_JH_HK0054_PlexinD1LSLflp_RSPv_male,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,RSPd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/de/67/de6776ca4e9b7469/181025_JH_HK0054_PlexinD1LSLflp_RSPv_male_processed/,13,M,https://brainviewer.org:3010/HUA_U19_181025,-2.78,0.7,0.6, AAV2/8-Cag-fDIO TVAeGFP
