Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,R24 Name (CV),R24 link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
950322658,487123,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISpm5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Male,Automated Neuron Morphology ,,,9031,845.6290146,4153.250599
950265290,487123,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Male,Manual Neuron Morphology ,,,9264.55054,1167.455744,3543.721596
950255593,487123,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Male,Automated Neuron Morphology ,,,9234.689285,1593.213695,2824.694433
950322566,487123,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Male,Automated Neuron Morphology ,,,9300.609509,1219.361529,3461.949181
950272456,487123,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,58 Days,Male,Automated Neuron Morphology ,,,9349.566847,1498.961775,2917.237693
951696740,487124,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,59 Days,Female,Automated Neuron Morphology ,,,9571.519424,1090.260309,7725.874361
951722517,487124,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp4,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,59 Days,Female,Automated Neuron Morphology ,,,9425.044272,1569.358946,8829.641899
951683418,487124,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISl5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,59 Days,Female,Automated Neuron Morphology ,,,9446.702223,2110.168419,2217.613214
951700309,487124,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,59 Days,Female,Automated Neuron Morphology ,,,9507.997121,1909.681841,2448.430637
951720102,487124,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,59 Days,Female,Automated Neuron Morphology ,,,9562.873063,1730.190722,2700.908645
951729703,487124,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,59 Days,Female,Automated Neuron Morphology ,,,9619.8122,1543.951198,2974.949173
957120771,488825,mouse,NCBI:txid10090,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,cell morphology,patch-seq,VISp5,cells,1,Allen Institute for Brain Science ,Sorensen ,,zeng_fmost,BIL,,,,56 Days,Female,Automated Neuron Morphology ,,,8646.121768,1313.978964,8251.235878
